x,y,z,token
-12.329268,-14.906096,6.4210157,feel
-16.726984,14.877691,19.515472,macian
23.447533,-9.176125,-5.019834,kings
-6.624089,-20.369917,13.861008,remember
19.096203,21.021574,-8.676833,tree
-15.423759,-3.1200986,8.484829,often
11.053508,-20.014017,-17.254929,wicked
22.05981,-30.19614,-0.15467945,37
-9.797109,0.65131444,8.785908,course
-11.556956,-15.429219,17.016613,understand
15.5924225,13.232923,17.021862,garden
23.264666,-0.15538889,-15.749057,bread
-10.85773,-23.836315,-6.331889,spoken
-16.140604,-12.355891,-1.0080394,person
-28.588976,-18.722328,-3.768671,pleasure
0.07655285,-2.096314,-28.767403,returned
-23.55794,5.7455826,6.5159163,ready
-10.207543,-0.68572146,-14.201492,nature
-18.169352,-11.041823,10.956469,certainly
9.197671,26.879364,-7.9161644,dark
19.287508,-7.256313,-12.038424,dwell
-8.642265,8.120794,-17.720884,strange
14.69591,-16.836813,-14.557147,sin
2.2207806,31.49817,8.728146,boat
11.815005,-2.8044107,6.912241,women
30.573114,3.0890627,-8.370949,altar
-17.131132,10.32185,24.389034,alice
-22.081133,8.826313,-5.0271792,short
-14.578303,-21.521242,0.26975447,able
22.121923,-7.477631,-7.956908,nations
7.179256,-17.371586,4.978152,send
13.27958,13.889262,12.709192,broken
17.159506,-10.803261,18.549568,written
37.93201,-3.5383267,-2.4512503,ten
8.52354,-26.841475,-9.318616,christ
-2.8240051,-26.593826,-8.177783,faith
1.0936031,22.66048,17.86821,table
-16.61156,-13.676303,21.281015,anything
-1.0150279,14.224466,14.001235,bed
19.696716,-18.764872,6.018274,master
6.317557,-30.812115,6.159854,shalt
24.28319,15.667635,-15.509679,fine
5.0486326,-17.923698,-6.109087,surely
22.794142,-29.32972,-0.24523742,38
19.571749,-12.9187765,-11.710029,gods
-14.471484,-17.490364,8.197481,ought
12.583739,-28.35487,0.33947024,wherefore
18.288742,-3.6776323,12.287099,laid
12.843097,-21.07254,-6.1024203,strength
12.687295,-25.36405,6.847668,praise
23.873009,-20.04186,-4.0993233,jacob
-6.6316376,-7.314,3.3308556,either
-7.18276,31.472689,11.333943,ran
0.951361,11.758337,-25.188017,rose
-7.042683,4.8366733,-17.528996,itself
1.9474974,-22.806032,-8.740023,judgment
33.308933,1.3329338,-5.1768966,congregation
17.799747,21.378378,-9.852673,trees
30.35933,-12.474261,-6.2125835,priests
25.628601,7.857134,3.4834847,gate
-21.03003,-1.7874516,15.380289,business
-12.750362,-7.908487,24.064526,?--
13.883728,-29.350449,-0.05692876,yea
2.1690063,-17.227203,-15.01659,wise
0.34439275,-23.9206,-9.400727,honour
4.5493746,-14.554346,2.8296862,meet
-8.785847,5.7749734,-29.190485,walked
19.877928,17.338457,-11.1502285,sweet
-19.75154,-11.311401,16.85156,glad
-14.436732,-23.11658,-8.198267,received
8.889931,-24.013258,-7.712987,kingdom
-11.356067,-13.353524,17.969,suppose
21.155296,-30.785585,1.3083405,40
12.525471,-18.118677,-7.920572,works
-6.305256,23.513239,7.9596176,suddenly
-3.3147976,-7.579108,6.275711,lost
-18.499327,-24.174723,5.1831794,doubt
32.73767,-9.828144,-1.2694043,ham
13.987068,25.869581,8.692211,hair
-3.0972307,4.9684696,-9.466565,beyond
